,Albuquerque,Anchorage,Baltimore,Billings,Birmingham,Charleston,Charlotte,Chicago,Detroit,Fargo,Houston,Jacksonville,Louisville,Manchester,Milwaukee,Minneapolis,Omaha,Philadelphia,Portland,Seattle,Wichita
0,29000.0,200.0,4000.0,15995.0,0.0,35.0,89.0,60.0,35000.0,38816.0,1.0,1.0,215.0,103.0,11600.0,28999.0,28999.0,24995.0,13500.0,19988.0,15.0
1,3500.0,200.0,95.0,15995.0,0.0,500.0,24995.0,12500.0,9300.0,36924.0,1.0,149.0,299.0,190.0,9900.0,44599.0,35995.0,9000.0,26999.0,50.0,21999.0
2,29000.0,39900.0,65.0,15995.0,0.0,11900.0,275.0,18000.0,53000.0,27988.0,29990.0,149.0,9500.0,0.0,8000.0,28999.0,33599.0,35.0,29999.0,27000.0,3000.0
3,15500.0,125.0,90.0,17500.0,0.0,24995.0,49500.0,17900.0,5800.0,69649.0,1.0,29000.0,19500.0,0.0,19750.0,24999.0,30999.0,14000.0,38900.0,44995.0,450.0
4,28900.0,175.0,20000.0,15995.0,0.0,8900.0,11900.0,40.0,5800.0,69649.0,1.0,29000.0,150.0,0.0,650.0,43999.0,32999.0,22900.0,34999.0,250.0,9500.0
5,8900.0,250.0,1000.0,14500.0,0.0,8500.0,200.0,4900.0,40.0,15600.0,2200.0,57977.0,3000.0,0.0,49900.0,41877.0,34999.0,1995.0,119900.0,19950.0,1000.0
6,1550.0,60.0,25.0,2000.0,0.0,5500.0,225.0,72500.0,7000.0,24999.0,3950.0,18500.0,18000.0,0.0,11500.0,38816.0,33999.0,250.0,35000.0,15995.0,10.0
7,1.0,3500.0,1900.0,15995.0,0.0,7500.0,37870.0,50.0,6950.0,53500.0,7500.0,28900.0,10500.0,0.0,1.0,36924.0,36995.0,17585.0,119999.0,23980.0,15.0
8,329.0,100.0,250.0,250.0,0.0,9900.0,1.0,12995.0,35.0,12995.0,1.0,4000.0,24500.0,0.0,40.0,27988.0,26599.0,50.0,21500.0,20000.0,150.0
9,125.0,10.0,24500.0,15995.0,0.0,6500.0,9000.0,16000.0,4000.0,1234.0,55871.0,150.0,800.0,0.0,25000.0,69649.0,20999.0,50.0,17995.0,57825.0,50.0
10,25000.0,800.0,18.0,15995.0,0.0,1.0,600.0,119.0,59000.0,17995.0,1500.0,59000.0,9200.0,0.0,945.0,79995.0,33999.0,24500.0,200.0,54862.0,3885.0
11,38500.0,100.0,895.0,15995.0,0.0,5500.0,480.0,95.0,14599.0,12995.0,225.0,1.0,35.0,0.0,49995.0,26599.0,65.0,1299.0,75.0,2000.0,25.0
12,23500.0,36000.0,1.0,22500.0,0.0,14500.0,625.0,15000.0,5800.0,17500.0,1.0,60.0,25000.0,0.0,41500.0,32999.0,75.0,25.0,57999.0,45.0,19995.0
13,17500.0,28000.0,100.0,12345.0,0.0,6900.0,480.0,1.0,21500.0,41877.0,1.0,10999.0,11500.0,0.0,1500.0,35999.0,39241.0,2025.0,24999.0,200.0,795.0
14,27.0,125.0,2000.0,15995.0,0.0,8000.0,29000.0,1.0,100.0,39350.0,1.0,10900.0,10000.0,0.0,35900.0,18099.0,125.0,30.0,5200.0,50.0,3999.0
15,100.0,39999.0,45.0,15995.0,0.0,19000.0,29000.0,25.0,5.0,9995.0,1.0,80.0,61500.0,0.0,17538.0,10.0,40999.0,65000.0,1.0,100.0,4800.0
16,280.0,21000.0,25.0,15995.0,0.0,6900.0,25.0,50.0,25000.0,6995.0,1.0,149.0,115000.0,0.0,20721.0,33999.0,39999.0,17198.0,17999.0,175.0,150.0
17,51500.0,25.0,599.0,15995.0,0.0,200.0,1.0,19300.0,52.0,29987.0,1.0,850.0,25.0,0.0,17900.0,26200.0,650.0,12500.0,74995.0,200.0,42000.0
18,6000.0,150.0,50.0,795.0,0.0,8900.0,300.0,100.0,55.0,29995.0,1.0,150.0,100.0,0.0,17450.0,20999.0,39999.0,895.0,20.0,100.0,450.0
19,5500.0,30.0,3100.0,35000.0,0.0,9000.0,65000.0,1.0,350.0,99.0,28990.0,2770.0,4000.0,0.0,100.0,22128.0,33999.0,3995.0,79995.0,50.0,800.0
20,19800.0,250.0,8.0,15995.0,0.0,7900.0,9500.0,85000.0,21900.0,20.0,7399.0,5500.0,2.0,0.0,75.0,22918.0,43999.0,100.0,84995.0,100.0,35.0
21,250.0,10.0,12.0,22500.0,0.0,9900.0,400.0,50.0,450.0,795.0,7399.0,23500.0,450.0,0.0,2500.0,24299.0,18599.0,17585.0,29999.0,50.0,50.0
22,400.0,750.0,15599.0,400.0,0.0,11900.0,49000.0,15000.0,24500.0,23500.0,14399.0,125.0,12995.0,0.0,10000.0,21853.0,30999.0,8.0,26999.0,400.0,5500.0
23,5900.0,1500.0,19000.0,22000.0,0.0,9300.0,300.0,12995.0,500.0,2000.0,13399.0,75.0,400.0,0.0,95.0,27900.0,33999.0,25000.0,30.0,600.0,25900.0
24,9500.0,150.0,125000.0,15995.0,0.0,8500.0,5.0,42000.0,25.0,23750.0,11199.0,75.0,1500.0,0.0,22000.0,63995.0,63995.0,19999.0,31999.0,39000.0,89500.0
25,29500.0,800.0,16867.0,15995.0,0.0,11500.0,75.0,9900.0,120.0,32900.0,13399.0,300000.0,397.0,0.0,1.0,36500.0,125.0,275.0,67500.0,700.0,580.0
26,1.0,100.0,75.0,15995.0,0.0,16900.0,250.0,395.0,500.0,17695.0,1.0,650.0,29950.0,0.0,1.0,19995.0,65.0,397.0,350.0,200.0,599.0
27,21500.0,125.0,75000.0,15995.0,0.0,3900.0,2725.0,59.0,500.0,6995.0,1.0,1095.0,58000.0,0.0,1.0,7000.0,75.0,4000.0,375.0,34980.0,100.0
28,14900.0,750.0,100.0,15995.0,0.0,9900.0,60.0,395.0,50.0,12933.0,375.0,23995.0,14500.0,0.0,43500.0,48970.0,13000.0,20360.0,24900.0,1.0,13000.0
29,7850.0,90.0,300.0,17000.0,0.0,8900.0,125.0,395.0,11000.0,99.0,375.0,4000.0,14500.0,0.0,29500.0,48970.0,36999.0,16000.0,48900.0,5600.0,500.0
30,17000.0,400.0,16500.0,18000.0,0.0,6800.0,9500.0,395.0,100.0,21000.0,1.0,15.0,78000.0,0.0,32000.0,22000.0,35999.0,465.0,700.0,32875.0,31000.0
31,29750.0,100.0,25.0,500.0,0.0,8500.0,9500.0,1.0,945.0,17495.0,1.0,60.0,45900.0,0.0,40.0,80.0,25000.0,7475.0,750.0,29000.0,7850.0
32,50.0,100.0,4200.0,500.0,0.0,12900.0,76000.0,18000.0,90.0,9500.0,24995.0,1.0,600.0,0.0,40.0,20.0,1.0,5000.0,75559.0,27491.0,50.0
33,8200.0,1.0,45.0,15995.0,0.0,9500.0,28500.0,1.0,8999.0,400.0,39496.0,22.0,22000.0,0.0,50.0,1.0,44999.0,3995.0,100.0,19980.0,1000.0
34,6000.0,100.0,45.0,15995.0,0.0,6700.0,450.0,85000.0,600.0,19995.0,1.0,80.0,599.0,0.0,40.0,39900.0,44599.0,19595.0,150.0,50.0,37500.0
35,6000.0,29999.0,950.0,2000.0,0.0,6900.0,28950.0,85000.0,25950.0,19900.0,52990.0,300000.0,27100.0,0.0,365.0,39900.0,1.0,44999.0,27999.0,29000.0,40.0
36,40000.0,8900.0,14000.0,21500.0,0.0,6900.0,120.0,4000.0,175.0,16195.0,12995.0,1000.0,59000.0,0.0,365.0,50.0,125.0,27000.0,21999.0,26990.0,5500.0
37,89000.0,22990.0,25.0,13000.0,0.0,225.0,14499.0,47500.0,375.0,26900.0,49990.0,18000.0,50.0,0.0,30.0,10995.0,20500.0,1800.0,16995.0,3500.0,30.0
38,38000.0,44500.0,500.0,15995.0,0.0,7900.0,100.0,24900.0,750.0,19995.0,6800.0,60000.0,50.0,0.0,50.0,16995.0,795.0,950.0,100.0,150.0,700.0
39,190.0,1.0,100.0,3500.0,0.0,7500.0,9500.0,24900.0,20.0,22495.0,5000.0,60.0,50.0,0.0,1000.0,650.0,100.0,9000.0,22995.0,10.0,12800.0
40,75.0,400.0,950.0,5500.0,0.0,8900.0,9000.0,24900.0,200.0,12995.0,6800.0,215.0,23900.0,0.0,25.0,225.0,18099.0,7500.0,23999.0,20.0,150.0
41,54900.0,8000.0,4000.0,500.0,0.0,7900.0,6995.0,1400.0,397.0,6900.0,6500.0,29500.0,20.0,0.0,300.0,22900.0,33999.0,25.0,29999.0,395.0,1290.0
42,6750.0,175.0,50.0,3000.0,0.0,1.0,6000.0,995.0,2000.0,17900.0,5500.0,695.0,50.0,0.0,36916.0,100.0,62995.0,85.0,90000.0,24900.0,1290.0
